"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","107,701.7","104,598.0","107,805.0","100,421.1","418.66K","2.97%"
"05/01/2025","104,598.0","94,181.3","111,953.6","93,408.8","2.03M","11.06%"
"04/01/2025","94,184.4","82,548.6","95,718.6","74,524.2","2.29M","14.10%"
"03/01/2025","82,548.8","84,353.4","94,986.5","76,677.1","2.37M","-2.17%"
"02/01/2025","84,381.2","102,421.3","102,770.8","78,329.8","2.40M","-10.74%"
"01/01/2025","94,536.1","94,600.0","95,928.1","89,423.1","55.30K","1.05%"
"12/01/2024","93,557.2","96,404.7","108,244.9","91,522.3","4.41M","-2.95%"
"11/01/2024","96,405.7","70,278.7","99,617.4","66,834.0","4.16M","37.17%"
"10/01/2024","70,281.8","63,329.9","73,569.4","59,075.7","2.56M","10.96%"
"09/01/2024","63,339.2","58,975.7","66,440.7","52,644.6","2.34M","7.39%"
"08/01/2024","58,978.6","64,625.7","65,587.9","49,486.9","2.56M","-8.74%"
"07/01/2024","64,626.0","62,768.8","70,000.2","53,883.4","2.06M","2.98%"
