"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2025","2,538.00","2,524.66","2,548.27","2,477.91","722.38K","0.53%"
"06/01/2025","2,524.66","2,526.39","2,675.16","2,385.68","3.79M","-0.14%"
"05/25/2025","2,528.09","2,530.68","2,784.23","2,467.77","4.50M","-0.05%"
"05/18/2025","2,529.32","2,475.04","2,731.76","2,340.94","6.15M","2.19%"
"05/11/2025","2,475.04","2,583.94","2,734.04","2,413.02","6.30M","-4.21%"
"05/04/2025","2,583.78","1,833.94","2,597.68","1,754.38","6.13M","40.89%"
"04/27/2025","1,833.93","1,820.65","1,872.73","1,736.41","3.45M","0.73%"
"04/20/2025","1,820.65","1,613.18","1,835.72","1,545.34","4.91M","12.90%"
"04/13/2025","1,612.58","1,643.09","1,690.44","1,539.11","3.64M","-1.92%"
"04/06/2025","1,644.12","1,805.11","1,816.30","1,388.12","8.81M","-8.99%"
"03/30/2025","1,806.47","1,828.23","1,953.57","1,752.70","3.68M","-1.17%"
"03/23/2025","1,827.84","1,980.78","2,101.23","1,801.47","3.21M","-7.72%"
"03/16/2025","1,980.80","1,936.53","2,069.43","1,863.28","2.73M","2.25%"
"03/09/2025","1,937.17","2,203.59","2,211.54","1,766.97","5.34M","-12.09%"
"03/02/2025","2,203.59","2,217.53","2,546.39","2,001.50","6.43M","-0.63%"
"02/23/2025","2,217.53","2,763.23","2,838.22","2,078.68","6.55M","-19.75%"
"02/16/2025","2,763.23","2,693.04","2,845.96","2,610.47","3.75M","2.59%"
"02/09/2025","2,693.40","2,631.61","2,789.88","2,534.86","3.50M","2.35%"
"02/02/2025","2,631.56","3,116.44","3,163.03","2,261.27","8.51M","-15.63%"
"01/26/2025","3,119.13","3,318.14","3,434.27","3,030.68","3.74M","-6.00%"
"01/19/2025","3,318.14","3,308.73","3,449.78","3,133.37","5.33M","0.28%"
"01/12/2025","3,308.74","3,282.89","3,524.96","2,943.61","3.73M","0.77%"
"01/05/2025","3,283.57","3,656.94","3,742.07","3,160.67","3.30M","-10.19%"
"12/29/2024","3,656.13","3,404.53","3,669.62","3,306.11","2.32M","7.39%"
"12/22/2024","3,404.59","3,338.72","3,546.29","3,220.10","2.67M","1.97%"
"12/15/2024","3,338.66","3,871.13","4,102.90","3,103.72","6.29M","-13.75%"
"12/08/2024","3,871.13","3,996.25","4,015.24","3,521.57","4.30M","-3.13%"
"12/01/2024","3,996.24","3,702.96","4,084.99","3,510.19","5.80M","7.92%"
"11/24/2024","3,702.97","3,393.92","3,733.47","3,254.45","4.67M","9.11%"
"11/17/2024","3,393.91","3,132.04","3,495.09","3,030.91","4.70M","8.36%"
"11/10/2024","3,132.00","3,126.25","3,440.05","3,015.75","5.79M","0.14%"
"11/03/2024","3,127.69","2,492.54","3,153.38","2,362.91","4.02M","25.49%"
"10/27/2024","2,492.45","2,482.52","2,719.90","2,465.72","2.85M","0.40%"
"10/20/2024","2,482.52","2,647.42","2,766.10","2,386.98","2.74M","-6.23%"
"10/13/2024","2,647.39","2,476.46","2,682.02","2,437.44","2.18M","6.90%"
"10/06/2024","2,476.48","2,414.98","2,520.05","2,353.08","1.73M","2.55%"
"09/29/2024","2,414.98","2,675.71","2,683.73","2,311.68","2.21M","-9.74%"
"09/22/2024","2,675.71","2,613.25","2,726.69","2,527.75","2.09M","2.39%"
"09/15/2024","2,613.35","2,417.56","2,619.81","2,254.52","2.49M","8.10%"
"09/08/2024","2,417.56","2,273.70","2,459.47","2,243.34","2.07M","6.27%"
"09/01/2024","2,274.87","2,513.06","2,560.67","2,151.80","2.99M","-9.50%"
"08/25/2024","2,513.56","2,768.90","2,792.11","2,396.02","2.44M","-9.21%"
"08/18/2024","2,768.49","2,614.35","2,818.05","2,541.32","2.24M","5.90%"
"08/11/2024","2,614.35","2,609.91","2,761.71","2,518.31","2.55M","0.16%"
"08/04/2024","2,610.24","2,904.59","2,931.40","2,166.31","6.22M","-10.13%"
"07/28/2024","2,904.59","3,248.83","3,396.70","2,863.44","2.14M","-10.55%"
"07/21/2024","3,247.06","3,517.04","3,559.66","3,089.07","2.33M","-7.68%"
"07/14/2024","3,517.04","3,175.10","3,539.42","3,165.38","2.10M","10.77%"
"07/07/2024","3,175.10","3,068.79","3,214.07","2,826.32","1.96M","3.46%"
"06/30/2024","3,068.79","3,378.60","3,522.00","2,822.44","3.25M","-9.17%"
"06/23/2024","3,378.60","3,495.96","3,520.35","3,245.76","2.00M","-3.35%"
"06/16/2024","3,495.87","3,568.74","3,650.11","3,373.14","2.49M","-2.04%"
"06/09/2024","3,568.72","3,681.59","3,719.02","3,368.09","2.17M","-3.07%"
"06/02/2024","3,681.59","3,815.95","3,885.15","3,608.44","2.04M","-3.52%"
"05/26/2024","3,815.95","3,749.28","3,976.00","3,703.74","2.38M","1.78%"
"05/19/2024","3,749.28","3,122.87","3,941.42","3,048.33","4.87M","20.06%"
"05/12/2024","3,122.87","2,912.56","3,145.59","2,864.50","2.19M","7.22%"
"05/05/2024","2,912.56","3,117.14","3,220.04","2,882.82","2.16M","-6.57%"
"04/28/2024","3,117.23","3,255.57","3,347.45","2,819.19","3.17M","-4.25%"
"04/21/2024","3,255.57","3,156.62","3,292.31","3,073.79","2.13M","3.13%"
"04/14/2024","3,156.63","3,005.96","3,273.03","2,871.82","4.21M","5.07%"
"04/07/2024","3,004.44","3,351.99","3,727.87","2,863.89","3.53M","-10.37%"
"03/31/2024","3,352.03","3,506.82","3,652.97","3,203.21","2.82M","-4.41%"
"03/24/2024","3,506.83","3,332.87","3,677.24","3,300.74","2.92M","5.22%"
"03/17/2024","3,332.90","3,523.66","3,678.07","3,063.60","5.32M","-5.41%"
"03/10/2024","3,523.68","3,905.17","4,091.28","3,476.82","4.98M","-9.77%"
"03/03/2024","3,905.17","3,420.64","3,991.89","3,237.28","5.55M","14.17%"
"02/25/2024","3,420.64","2,992.29","3,520.80","2,984.29","4.37M","14.31%"
"02/18/2024","2,992.29","2,785.90","3,031.76","2,765.97","3.64M","7.41%"
"02/11/2024","2,785.90","2,500.28","2,864.41","2,473.54","3.03M","11.42%"
"02/04/2024","2,500.28","2,296.50","2,522.96","2,271.28","2.59M","8.87%"
"01/28/2024","2,296.50","2,267.91","2,389.23","2,237.69","2.15M","1.26%"
"01/21/2024","2,267.91","2,472.04","2,481.63","2,169.54","2.92M","-8.26%"
"01/14/2024","2,472.03","2,578.36","2,613.71","2,418.61","2.77M","-4.12%"
"01/07/2024","2,578.36","2,240.49","2,712.88","2,167.42","5.26M","15.08%"
"12/31/2023","2,240.49","2,291.70","2,430.53","2,122.78","3.09M","-2.23%"
"12/24/2023","2,291.70","2,308.60","2,443.59","2,184.60","3.15M","-0.73%"
"12/17/2023","2,308.61","2,229.07","2,341.52","2,123.06","3.18M","3.57%"
"12/10/2023","2,229.07","2,340.55","2,376.57","2,148.87","2.87M","-4.76%"
"12/03/2023","2,340.55","2,164.79","2,401.34","2,150.58","3.18M","8.12%"
"11/26/2023","2,164.79","2,082.91","2,179.73","1,987.43","2.21M","3.92%"
"11/19/2023","2,083.09","1,961.72","2,129.20","1,930.66","2.95M","6.19%"
"11/12/2023","1,961.72","2,053.40","2,115.24","1,908.24","3.34M","-4.47%"
"11/05/2023","2,053.42","1,855.72","2,135.91","1,846.57","3.89M","10.65%"
"10/29/2023","1,855.72","1,776.21","1,873.02","1,764.08","2.30M","4.48%"
"10/22/2023","1,776.21","1,628.94","1,864.81","1,623.29","3.12M","9.04%"
"10/15/2023","1,628.94","1,554.96","1,642.33","1,543.87","1.96M","4.76%"
"10/08/2023","1,554.96","1,633.58","1,641.30","1,523.78","1.74M","-4.81%"
"10/01/2023","1,633.58","1,670.92","1,742.42","1,609.54","1.61M","-2.23%"
"09/24/2023","1,670.92","1,593.89","1,693.68","1,564.70","1.68M","4.83%"
"09/17/2023","1,593.89","1,634.41","1,668.87","1,569.03","1.41M","-2.48%"
"09/10/2023","1,634.41","1,635.56","1,652.40","1,533.95","1.94M","-0.07%"
"09/03/2023","1,635.56","1,637.05","1,667.08","1,610.02","1.47M","-0.09%"
"08/27/2023","1,637.05","1,647.05","1,742.83","1,603.67","2.06M","-0.61%"
"08/20/2023","1,647.05","1,669.68","1,697.63","1,588.36","2.04M","-1.35%"
"08/13/2023","1,669.67","1,849.94","1,861.50","1,560.88","2.67M","-9.74%"
"08/06/2023","1,849.94","1,836.48","1,871.77","1,805.30","1.18M","0.73%"
"07/30/2023","1,836.48","1,880.55","1,884.33","1,818.06","1.59M","-2.34%"
"07/23/2023","1,880.55","1,866.26","1,903.95","1,835.14","1.38M","0.77%"
"07/16/2023","1,866.25","1,931.43","1,942.55","1,854.09","1.60M","-3.37%"
"07/09/2023","1,931.42","1,865.28","2,025.56","1,846.71","2.48M","3.55%"
"07/02/2023","1,865.28","1,924.53","1,974.61","1,827.35","2.07M","-3.08%"
"06/25/2023","1,924.53","1,875.00","1,943.65","1,821.94","3.39M","2.64%"
"06/18/2023","1,875.00","1,727.79","1,932.23","1,706.40","2.74M","8.52%"
"06/11/2023","1,727.79","1,751.56","1,775.87","1,632.50","2.37M","-1.36%"
"06/04/2023","1,751.56","1,892.05","1,914.12","1,719.16","2.39M","-7.43%"
"05/28/2023","1,892.05","1,829.91","1,925.74","1,824.70","2.30M","3.40%"
"05/21/2023","1,829.91","1,819.66","1,868.89","1,764.92","2.23M","0.56%"
"05/14/2023","1,819.68","1,795.11","1,845.27","1,774.77","2.14M","1.38%"
"05/07/2023","1,794.95","1,896.48","1,931.39","1,741.48","3.87M","-5.35%"
"04/30/2023","1,896.48","1,907.80","2,013.10","1,807.30","3.33M","-0.59%"
"04/23/2023","1,907.80","1,873.96","1,963.46","1,793.76","3.87M","1.81%"
"04/16/2023","1,873.95","2,090.59","2,137.56","1,831.47","4.28M","-10.36%"
"04/09/2023","2,090.59","1,848.93","2,127.56","1,825.60","4.33M","13.07%"
"04/02/2023","1,848.93","1,820.78","1,936.10","1,764.26","3.25M","1.55%"
"03/26/2023","1,820.78","1,742.32","1,845.54","1,691.38","3.84M","4.50%"
"03/19/2023","1,742.34","1,758.70","1,852.48","1,711.05","4.97M","-0.93%"
"03/12/2023","1,758.70","1,472.08","1,833.82","1,452.33","7.43M","19.55%"
"03/05/2023","1,471.15","1,566.73","1,587.95","1,371.47","4.40M","-6.10%"
"02/26/2023","1,566.73","1,594.66","1,677.45","1,547.61","3.49M","-1.75%"
"02/19/2023","1,594.66","1,691.62","1,722.28","1,562.10","3.63M","-5.73%"
"02/12/2023","1,691.62","1,538.34","1,738.87","1,464.10","4.42M","9.96%"
