"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","2,538.12","2,526.39","2,675.16","2,385.68","4.52M","0.40%"
"05/01/2025","2,528.09","1,793.62","2,784.23","1,754.38","24.41M","40.95%"
"04/01/2025","1,793.58","1,822.41","1,953.57","1,388.12","22.24M","-1.56%"
"03/01/2025","1,821.95","2,233.88","2,546.39","1,766.97","19.12M","-18.53%"
"02/01/2025","2,236.41","3,298.69","3,331.28","2,078.68","21.58M","-32.20%"
"01/01/2025","3,298.69","3,337.80","3,742.07","2,943.61","15.81M","-1.17%"
"12/01/2024","3,337.80","3,702.96","4,102.90","3,103.72","18.50M","-9.86%"
"11/01/2024","3,702.97","2,519.14","3,733.47","2,362.91","19.80M","46.99%"
"10/01/2024","2,519.14","2,602.30","2,766.10","2,311.68","9.66M","-3.24%"
"09/01/2024","2,603.48","2,513.06","2,726.69","2,151.80","8.99M","3.58%"
"08/01/2024","2,513.56","3,231.81","3,242.07","2,166.31","13.99M","-22.22%"
"07/01/2024","3,231.84","3,437.84","3,559.66","2,822.44","9.44M","-5.99%"
